Index,True_Label,Match,llm_1,Removed_Percentage
223,schipperke,True,True,60.34359056122449
224,groenendael,True,True,36.930006377551024
225,malinois,True,True,8.502072704081632
226,briard,True,True,10.325653698979592
227,kelpie,True,True,15.56122448979592
228,komondor,True,True,32.18470982142857
229,Old English sheepdog,True,True,29.01586415816326
22,bald eagle,True,True,30.387037627551024
230,Shetland sheepdog,True,True,14.983258928571429
231,collie,True,True,5.8812978316326525
232,Border collie,True,True,15.158641581632654
233,Bouvier des Flandres,True,True,28.22066326530612
234,Rottweiler,True,True,4.625717474489796
235,German shepherd,True,True,24.635283801020407
236,Doberman,True,True,46.69961734693878
237,miniature pinscher,True,True,19.234295280612244
238,Greater Swiss Mountain dog,True,True,27.49521683673469
239,Bernese mountain dog,True,True,21.155532525510203
23,vulture,False,False,51.417012117346935
240,Appenzeller,True,True,33.59175701530612
241,EntleBucher,True,True,41.322544642857146
242,boxer,True,True,37.02367665816326
243,bull mastiff,True,True,32.9280931122449
244,Tibetan mastiff,True,True,27.25406568877551
245,French bulldog,True,True,30.24354272959184
246,Great Dane,True,True,36.49952168367347
247,Saint Bernard,True,True,19.94579081632653
248,Eskimo dog,True,True,22.881457270408163
249,malamute,True,True,18.94331951530612
24,great grey owl,True,True,19.226323341836736
250,Siberian husky,True,True,51.09614158163265
251,dalmatian,True,True,14.6484375
252,affenpinscher,True,True,33.719308035714285
253,basenji,True,True,34.0023118622449
254,pug,True,True,15.158641581632654
255,Leonberg,True,True,9.524473852040815
256,Newfoundland,True,True,22.33338647959184
257,Great Pyrenees,True,True,42.89700255102041
258,Samoyed,True,True,21.06385522959184
259,Pomeranian,True,True,24.64126275510204
25,European fire salamander,True,True,36.58123405612245
260,chow,True,True,16.428172831632654
261,keeshond,True,True,53.00143494897959
262,Brabancon griffon,True,True,35.99330357142857
263,Pembroke,True,True,24.9382174744898
264,Cardigan,True,True,28.56544961734694
265,toy poodle,True,True,24.230707908163264
266,miniature poodle,True,True,23.140545280612244
267,standard poodle,True,True,27.945631377551024
268,Mexican hairless,True,True,28.952088647959183
269,timber wolf,True,True,20.820711096938776
26,common newt,True,True,29.918686224489797
270,white wolf,False,False,15.806361607142858
271,red wolf,True,True,52.67857142857143
272,coyote,True,True,25.229193239795915
273,dingo,True,True,32.25247130102041
274,dhole,True,True,23.14453125
275,African hunting dog,True,True,29.01586415816326
276,hyena,True,True,52.50518176020408
277,red fox,True,True,50.025908801020414
278,kit fox,True,True,50.70551658163265
279,Arctic fox,True,True,57.1906887755102
27,eft,True,True,21.97265625
280,grey fox,True,True,39.51690051020408
281,tabby,True,True,23.7663424744898
282,tiger cat,True,True,16.914461096938776
283,Persian cat,True,True,21.90688775510204
284,Siamese cat,True,True,26.265545280612244
285,Egyptian cat,True,True,56.41342474489795
286,cougar,True,True,13.151705994897958
287,lynx,True,True,63.36894132653062
288,leopard,True,True,27.34574298469388
289,snow leopard,True,True,26.028380102040817
28,spotted salamander,True,True,26.034359056122447
290,jaguar,True,True,40.59111926020408
291,lion,True,True,12.316645408163266
292,tiger,True,True,40.62699298469388
293,cheetah,True,True,42.691725127551024
294,brown bear,True,True,36.09893176020408
295,American black bear,True,True,19.624920280612244
296,ice bear,True,True,36.637037627551024
297,sloth bear,True,True,28.770727040816325
298,mongoose,True,True,32.20065369897959
299,meerkat,True,True,22.23174426020408
29,axolotl,False,False,30.61025191326531
2,great white shark,True,True,33.9046556122449
300,tiger beetle,True,True,28.69897959183674
301,ladybug,True,True,30.56640625
302,ground beetle,True,True,35.801977040816325
303,long-horned beetle,True,True,45.60945471938776
304,leaf beetle,True,True,30.839445153061224
305,dung beetle,True,True,38.482541454081634
306,rhinoceros beetle,True,True,20.4898756377551
307,weevil,True,True,28.66908482142857
308,fly,True,True,57.50159438775511
309,bee,True,True,37.88066007653062
30,bullfrog,True,True,33.21308992346938
310,ant,True,True,26.22169961734694
311,grasshopper,True,True,36.51546556122449
312,cricket,True,True,24.08920599489796
313,walking stick,True,True,41.46006058673469
314,cockroach,False,False,34.1438137755102
315,mantis,True,True,33.79304846938776
316,cicada,True,True,31.686463647959183
317,leafhopper,True,True,74.43000637755102
318,lacewing,True,True,63.524394132653065
319,dragonfly,True,True,22.84956951530612
31,tree frog,True,True,33.785076530612244
320,damselfly,True,True,21.24123086734694
321,admiral,True,True,32.254464285714285
322,ringlet,True,True,15.913982780612246
323,monarch,True,True,24.553571428571427
324,cabbage butterfly,True,True,23.30994897959184
325,sulphur butterfly,True,True,16.428172831632654
326,lycaenid,True,True,18.98517219387755
327,starfish,True,True,34.305245535714285
328,sea urchin,False,False,21.791294642857142
329,sea cucumber,True,True,35.9733737244898
32,tailed frog,True,True,41.70320471938776
330,wood rabbit,True,True,21.60395408163265
331,hare,True,True,33.045679209183675
332,Angora,True,True,39.32756696428572
333,hamster,True,True,29.16733099489796
334,porcupine,True,True,33.42235331632653
335,fox squirrel,True,True,18.31552933673469
336,marmot,True,True,36.328125
337,beaver,True,True,26.436941964285715
338,guinea pig,True,True,69.46747448979592
339,sorrel,True,True,17.213408801020407
33,loggerhead,True,True,26.77973533163265
340,zebra,True,True,30.283402423469383
341,hog,True,True,40.36391900510204
342,wild boar,True,True,21.753427933673468
343,warthog,True,True,45.91039540816326
344,hippopotamus,True,True,11.23844068877551
345,ox,True,True,29.18526785714285
346,water buffalo,True,True,41.48397640306122
347,bison,True,True,22.02248086734694
348,ram,True,True,35.55086096938776
349,bighorn,True,True,31.331712372448976
34,leatherback turtle,True,True,7.667012117346939
350,ibex,True,True,18.42713647959184
351,hartebeest,True,True,26.504703443877556
352,impala,True,True,39.82182716836735
353,gazelle,True,True,25.508211096938776
354,Arabian camel,True,True,32.421875
355,llama,True,True,35.064572704081634
356,weasel,True,True,21.54217155612245
357,mink,True,True,23.475366709183675
358,polecat,True,True,34.91509885204081
359,black-footed ferret,True,True,17.615991709183675
35,mud turtle,True,True,23.060825892857142
360,otter,True,True,17.875079719387756
361,skunk,True,True,24.70503826530612
362,badger,True,True,25.70750956632653
363,armadillo,False,False,48.03890306122449
364,three-toed sloth,True,True,20.46396683673469
365,orangutan,True,True,22.16796875
366,gorilla,True,True,26.474808673469383
367,chimpanzee,True,True,16.95830676020408
368,gibbon,True,True,15.312101403061224
369,siamang,True,True,24.019451530612244
36,terrapin,True,True,44.874043367346935
370,guenon,True,True,28.037308673469383
371,patas,True,True,28.17482461734694
372,baboon,True,True,16.06544961734694
373,macaque,True,True,7.946029974489796
374,langur,True,True,27.78220663265306
375,colobus,True,True,31.02479272959184
376,proboscis monkey,True,True,20.826690051020407
377,marmoset,True,True,24.78874362244898
378,capuchin,True,True,9.548389668367346
379,howler monkey,True,True,17.72560586734694
37,box turtle,True,True,31.887755102040817
380,titi,True,True,36.551339285714285
381,spider monkey,True,True,22.98907844387755
382,squirrel monkey,True,True,21.016023596938776
383,Madagascar cat,True,True,36.67490433673469
384,indri,True,True,39.75007971938776
385,Indian elephant,True,True,14.148198341836734
386,African elephant,True,True,20.828683035714285
387,lesser panda,True,True,14.32158801020408
388,giant panda,True,True,23.369738520408163
389,barracouta,True,True,12.37045599489796
38,banded gecko,True,True,26.440927933673468
390,eel,True,True,21.6796875
391,coho,True,True,35.35554846938776
392,rock beauty,True,True,30.8773118622449
393,anemone fish,True,True,31.93558673469388
394,sturgeon,True,True,20.37029655612245
395,gar,True,True,25.868941326530614
396,lionfish,True,True,42.691725127551024
397,puffer,True,True,14.963329081632654
398,abacus,False,False,19.95376275510204
399,abaya,True,True,40.51937181122449
39,common iguana,True,True,17.394770408163264
3,tiger shark,True,True,19.688695790816325
400,academic gown,True,True,18.893494897959183
401,accordion,False,False,17.753507653061224
402,acoustic guitar,True,True,36.76458864795919
403,aircraft carrier,True,True,47.564572704081634
404,airliner,True,True,28.061224489795915
405,airship,True,True,47.77383609693878
406,altar,True,True,31.4453125
407,ambulance,True,True,23.79823022959184
408,amphibian,True,True,45.40218431122449
409,analog clock,True,True,40.316087372448976
40,American chameleon,True,True,19.63289221938776
410,apiary,True,True,29.912707270408163
411,apron,True,True,33.11344068877551
412,ashcan,False,False,12.677375637755103
413,assault rifle,False,False,20.21683673469388
414,backpack,True,True,37.72122130102041
415,bakery,True,True,10.943478954081632
416,balance beam,True,True,22.02646683673469
417,balloon,True,True,36.712771045918366
418,ballpoint,True,True,19.67873086734694
419,Band Aid,True,True,44.54320790816326
41,whiptail,True,True,18.02256058673469
420,banjo,True,True,28.97401147959184
421,bannister,True,True,30.165816326530614
422,barbell,True,True,32.037228954081634
423,barber chair,True,True,26.987005739795915
424,barbershop,False,False,26.719945790816325
425,barn,True,True,50.33681441326531
426,barometer,False,False,17.458545918367346
427,barrel,True,True,28.76474808673469
428,barrow,True,True,21.73349808673469
429,baseball,True,True,11.985809948979592
42,agama,True,True,12.266820790816327
430,basketball,True,True,28.36415816326531
431,bassinet,True,True,18.71811224489796
432,bassoon,True,True,28.515625
433,bathing cap,True,True,10.682397959183673
434,bath towel,True,True,17.3828125
435,bathtub,True,True,30.833466198979597
436,beach wagon,True,True,13.19953762755102
437,beacon,True,True,45.80078125
438,beaker,False,False,46.65577168367347
439,bearskin,True,True,32.80452806122449
43,frilled lizard,True,True,5.76969068877551
440,beer bottle,True,True,21.480389030612244
441,beer glass,True,True,60.150271045918366
442,bell cote,True,True,51.33529974489795
443,bib,False,False,32.308274872448976
444,bicycle-built-for-two,True,True,41.60953443877551
445,bikini,True,True,47.357302295918366
446,binder,True,True,27.60483099489796
447,binoculars,True,True,10.395408163265303
448,birdhouse,True,True,22.927295918367346
449,boathouse,True,True,17.6578443877551
44,alligator lizard,True,True,10.084502551020408
450,bobsled,True,True,18.88751594387755
451,bolo tie,True,True,10.110411352040815
452,bonnet,True,True,11.736686862244898
453,bookcase,False,False,30.52455357142857
454,bookshop,False,False,33.30277423469388
455,bottlecap,True,True,16.198979591836736
456,bow,False,False,31.774154974489797
457,bow tie,True,True,36.04711415816326
458,brass,True,True,37.98429528061224
459,brassiere,True,True,21.131616709183675
45,Gila monster,True,True,14.58466198979592
460,breakwater,True,True,19.569116709183675
461,breastplate,True,True,28.115035076530614
462,broom,True,True,27.60483099489796
463,bucket,True,True,20.23676658163265
464,buckle,True,True,17.022082270408163
465,bulletproof vest,True,True,18.333466198979597
466,bullet train,True,True,18.030532525510203
467,butcher shop,True,True,29.551977040816325
468,cab,True,True,8.777104591836734
469,caldron,True,True,30.08011798469388
46,green lizard,True,True,20.01953125
470,candle,True,True,37.37444196428572
471,cannon,True,True,54.00390625
472,canoe,True,True,19.96572066326531
473,can opener,True,True,12.244897959183673
474,Cardigan,True,True,26.721938775510207
475,cardigan,False,False,33.231026785714285
476,car mirror,True,True,35.79998405612245
477,carousel,False,False,25.637755102040817
478,carpenter's kit,True,True,30.16980229591837
479,carton,True,True,15.599091198979592
47,African chameleon,True,True,56.12842793367348
480,car wheel,False,False,9.151785714285714
481,cash machine,True,True,13.008211096938776
482,cassette,False,False,28.99593431122449
483,cassette player,False,False,41.80484693877551
484,castle,False,False,42.8352200255102
485,catamaran,False,False,26.596380739795915
486,CD player,True,True,33.589764030612244
487,cello,True,True,17.119738520408163
488,cellular telephone,True,True,22.87547831632653
489,chain,True,True,16.09733737244898
48,Komodo dragon,True,True,26.29145408163265
490,chainlink fence,True,True,22.52670599489796
491,chain mail,False,False,26.401068239795915
492,chain saw,False,False,5.133928571428571
493,chest,True,True,36.71476403061224
494,chiffonier,False,False,23.391661352040817
495,chime,True,True,23.303970025510203
496,china cabinet,False,False,20.169005102040817
497,Christmas stocking,False,False,26.598373724489797
498,church,True,True,25.41254783163265
499,cinema,True,True,50.43247767857143
49,African crocodile,True,True,21.08777104591837
4,hammerhead,True,True,49.36822385204081
500,cleaver,True,True,31.766183035714285
501,cliff dwelling,False,False,31.34765625
502,cloak,True,True,35.150271045918366
503,clog,True,True,22.122130102040817
504,cocktail shaker,True,True,19.620934311224488
505,coffee mug,True,True,16.527822066326532
506,coffeepot,False,False,49.77678571428572
507,coil,True,True,33.74322385204081
508,combination lock,True,True,62.4641262755102
509,computer keyboard,True,True,60.91757015306123
50,American alligator,True,True,39.84574298469388
510,confectionery,False,False,38.3171237244898
511,container ship,False,False,31.05867346938776
512,convertible,False,False,35.37747130102041
513,corkscrew,False,False,27.178332270408163
514,cornet,False,False,23.01498724489796
515,cowboy boot,False,False,21.442522321428573
516,cowboy hat,False,False,20.80476721938776
517,crane,True,True,35.83187181122449
518,cradle,False,False,42.7913743622449
519,crane,True,True,23.2601243622449
51,triceratops,True,True,31.018813775510207
520,crash helmet,True,True,23.11463647959184
521,crate,True,True,27.18032525510204
522,crib,False,False,28.970025510204085
523,Crock Pot,False,False,12.111367984693878
524,croquet ball,True,True,28.567442602040817
525,crutch,False,False,17.82126913265306
526,cuirass,True,True,42.61001275510204
527,dam,False,False,26.990991709183675
528,desk,True,True,12.390385841836734
529,desktop computer,False,False,45.64931441326531
52,thunder snake,True,True,24.051339285714285
530,dial telephone,True,True,21.41860650510204
531,diaper,True,True,59.40888073979592
532,digital clock,True,True,46.02997448979592
533,digital watch,True,True,50.62579719387755
534,dining table,True,True,34.9788743622449
535,dishrag,False,False,41.747050382653065
536,dishwasher,False,False,30.869339923469383
537,disk brake,False,False,19.812260841836736
538,dock,True,True,31.668526785714285
539,dogsled,False,False,37.14923469387755
53,ringneck snake,True,True,61.89413265306123
540,dome,True,True,44.94180484693878
541,doormat,False,False,45.34438775510204
542,drilling platform,True,True,43.92139668367347
543,drum,False,False,27.086654974489797
544,drumstick,False,False,37.83083545918368
545,dumbbell,True,True,45.51977040816326
546,Dutch oven,True,True,45.46396683673469
547,electric fan,True,True,26.444913903061224
548,electric guitar,False,False,30.508609693877556
549,electric locomotive,False,False,59.63408801020408
54,hognose snake,True,True,28.70894451530612
550,entertainment center,True,True,32.77861926020408
551,envelope,True,True,20.814732142857142
552,espresso maker,False,False,27.395567602040817
553,face powder,True,True,28.30636160714285
554,feather boa,False,False,31.796077806122447
555,file,True,True,31.700414540816325
556,fireboat,False,False,67.31903698979592
557,fire engine,False,False,36.3639987244898
558,fire screen,True,True,35.237962372448976
559,flagpole,True,True,36.3899075255102
55,green snake,True,True,33.45025510204081
560,flute,False,False,30.526546556122447
561,folding chair,False,False,19.66278698979592
562,football helmet,False,False,18.39325573979592
563,forklift,True,True,21.871014030612244
564,fountain,False,False,24.4499362244898
565,fountain pen,True,True,40.74258609693878
566,four-poster,True,True,23.75239158163265
567,freight car,True,True,31.8359375
568,French horn,True,True,31.34566326530612
569,frying pan,True,True,24.25263073979592
56,king snake,True,True,60.66645408163265
570,fur coat,False,False,44.81425382653062
571,garbage truck,True,True,44.28013392857143
572,gasmask,False,False,22.698102678571427
573,gas pump,False,False,36.58123405612245
574,goblet,False,False,30.644132653061224
575,go-kart,True,True,29.147401147959183
576,golf ball,True,True,22.11415816326531
577,golfcart,False,False,63.133769132653065
578,gondola,False,False,15.443638392857142
579,gong,False,False,16.571667729591837
57,garter snake,True,True,25.468351403061224
580,gown,True,True,68.38129783163265
581,grand piano,False,False,36.49553571428572
582,greenhouse,True,True,14.265784438775512
583,grille,True,True,26.753826530612244
584,grocery store,False,False,33.52997448979592
585,guillotine,False,False,37.27678571428572
586,hair slide,False,False,38.09390943877551
587,hair spray,True,True,22.01251594387755
588,half track,False,False,37.972337372448976
589,hammer,False,False,11.943957270408164
58,water snake,False,False,39.67036033163265
590,hamper,True,True,32.156808035714285
591,hand blower,True,True,48.12260841836735
592,hand-held computer,True,True,25.747369260204085
593,handkerchief,False,False,44.93383290816326
594,hard disc,False,False,31.92761479591837
595,harmonica,False,False,26.145966198979597
596,harp,False,False,25.58793048469388
597,harvester,True,True,32.25645727040816
598,hatchet,True,True,29.64365433673469
599,holster,False,False,30.586336096938776
59,vine snake,True,True,44.02303890306122
5,electric ray,True,True,47.542649872448976
600,home theater,False,False,40.479512117346935
601,honeycomb,False,False,26.253587372448976
602,hook,True,True,33.9225924744898
603,hoopskirt,False,False,20.23676658163265
604,horizontal bar,False,False,46.28507653061224
605,horse cart,False,False,30.644132653061224
606,hourglass,False,False,24.28451849489796
607,iPod,False,False,18.51482780612245
608,iron,True,True,15.507413903061224
609,jack-o'-lantern,False,False,29.173309948979597
60,night snake,True,True,19.870057397959183
610,jean,False,False,38.33904655612245
611,jeep,False,False,64.61654974489795
612,jersey,False,False,31.54695471938776
613,jigsaw puzzle,False,False,21.448501275510203
614,jinrikisha,False,False,18.29559948979592
615,joystick,False,False,22.65824298469388
616,kimono,True,True,28.55947066326531
617,knee pad,True,True,19.054926658163264
618,knot,False,False,35.606664540816325
619,lab coat,False,False,38.243383290816325
61,boa constrictor,True,True,24.079241071428573
620,ladle,False,False,17.263233418367346
621,lampshade,True,True,34.93901466836735
622,laptop,False,False,43.16605548469388
623,lawn mower,False,False,35.58673469387755
624,lens cap,True,True,41.28268494897959
625,letter opener,False,False,22.55261479591837
626,library,True,True,56.18223852040817
627,lifeboat,True,True,33.23700573979592
628,lighter,False,False,40.4476243622449
629,limousine,False,False,25.599888392857142
62,rock python,True,True,52.12452168367348
630,liner,True,True,29.09956951530612
631,lipstick,True,True,46.099728954081634
632,Loafer,False,False,44.72257653061224
633,lotion,False,False,20.988121811224488
634,loudspeaker,False,False,39.35546875
635,loupe,True,True,46.00406568877551
636,lumbermill,False,False,32.320232780612244
637,magnetic compass,False,False,32.762675382653065
638,mailbag,False,False,23.9616549744898
639,mailbag,False,False,35.281808035714285
63,Indian cobra,True,True,39.60259885204081
640,mailbox,False,False,9.974888392857142
641,maillot,False,False,29.830994897959183
642,maillot,False,False,56.64859693877551
643,manhole cover,True,True,44.24824617346938
644,maraca,False,False,41.57166772959184
645,marimba,True,True,21.219308035714285
646,mask,False,False,25.87292729591837
647,matchstick,False,False,25.59390943877551
648,maypole,True,True,32.54145408163265
649,maze,False,False,39.52686543367347
64,green mamba,False,False,32.938058035714285
650,measuring cup,True,True,37.52989477040816
651,medicine chest,True,True,45.57158801020408
652,megalith,False,False,23.3757174744898
653,microphone,True,True,26.66812818877551
654,microwave,False,False,41.19100765306122
655,military uniform,False,False,35.94746492346938
656,milk can,True,True,37.25087691326531
657,minibus,False,False,35.00677614795919
658,miniskirt,True,True,30.789620535714285
659,minivan,False,False,42.41270727040816
65,sea snake,True,True,66.19897959183673
660,missile,False,False,27.218191964285715
661,mitten,False,False,57.45176977040817
662,mixing bowl,False,False,20.495854591836736
663,mobile home,False,False,51.87539859693877
664,Model T,True,True,20.22082270408163
665,modem,False,False,28.603316326530614
666,monastery,False,False,34.80548469387755
667,monitor,False,False,46.338887117346935
668,moped,False,False,28.936144770408163
669,mortar,True,True,30.410953443877556
66,horned viper,True,True,24.390146683673468
670,mortarboard,True,True,9.28531568877551
671,mosque,False,False,34.15577168367347
672,mosquito net,True,True,33.05165816326531
673,motor scooter,True,True,42.70169005102041
674,mountain bike,False,False,52.94164540816326
675,mountain tent,False,False,15.81433354591837
676,mouse,True,True,37.31265943877551
677,mousetrap,False,False,60.81592793367348
678,moving van,True,True,39.891581632653065
679,muzzle,True,True,39.04057716836735
67,diamondback,True,True,45.59550382653062
680,nail,False,False,33.16924426020408
681,neck brace,False,False,47.51873405612245
682,necklace,False,False,36.9758450255102
683,nipple,True,True,28.26450892857143
684,notebook,False,False,23.493303571428573
685,obelisk,False,False,17.163584183673468
686,oboe,False,False,31.588807397959183
687,ocarina,True,True,30.5843431122449
688,odometer,True,True,33.328683035714285
689,oil filter,True,True,28.694993622448976
68,sidewinder,True,True,27.19626913265306
690,organ,True,True,24.784757653061224
691,oscilloscope,False,False,37.8547512755102
692,overskirt,False,False,21.269132653061224
693,oxcart,False,False,27.857940051020407
694,oxygen mask,True,True,23.78826530612245
695,packet,True,True,18.06441326530612
696,paddle,True,True,24.37420280612245
697,paddlewheel,False,False,44.591039540816325
698,padlock,False,False,30.32126913265306
699,paintbrush,True,True,41.1750637755102
69,trilobite,True,True,18.95129145408163
6,stingray,True,True,38.74561543367347
700,pajama,True,True,54.80110012755102
701,palace,True,True,39.84773596938776
702,panpipe,False,False,20.667251275510203
703,paper towel,False,False,40.3499681122449
704,parachute,False,False,19.543207908163264
705,parallel bars,False,False,37.505978954081634
706,park bench,True,True,25.34080038265306
707,parking meter,True,True,25.00597895408163
708,passenger car,False,False,22.684151785714285
709,patio,True,True,31.616709183673468
70,harvestman,True,True,28.36415816326531
710,pay-phone,False,False,23.74641262755102
711,pedestal,False,False,14.758051658163266
712,pencil box,True,True,44.027024872448976
713,pencil sharpener,False,False,19.967713647959183
714,perfume,False,False,26.992984693877556
715,Petri dish,False,False,38.69579081632653
716,photocopier,True,True,20.84064094387755
717,pick,True,True,17.679767219387756
718,pickelhaube,False,False,16.575653698979593
719,picket fence,True,True,28.653140943877556
71,scorpion,True,True,20.926339285714285
720,pickup,True,True,29.78515625
721,pier,False,False,28.836495535714285
722,piggy bank,True,True,27.82007334183674
723,pill bottle,False,False,38.73764349489796
724,pillow,False,False,59.86328125
725,ping-pong ball,True,True,40.58314732142857
726,pinwheel,True,True,42.48246173469388
727,pirate,False,False,27.58888711734694
728,pitcher,False,False,32.9280931122449
729,plane,False,False,42.24131058673469
72,black and gold garden spider,True,True,18.763950892857142
730,planetarium,False,False,39.95137117346938
731,plastic bag,False,False,30.36511479591837
732,plate rack,True,True,27.584901147959183
733,plow,True,True,46.42059948979592
734,plunger,False,False,31.92562181122449
735,Polaroid camera,True,True,25.874920280612244
736,pole,True,True,25.35873724489796
737,police van,False,False,19.714604591836736
738,poncho,False,False,36.35004783163265
739,pool table,True,True,49.25063775510204
73,barn spider,True,True,28.842474489795915
740,pop bottle,True,True,29.671556122448976
741,pot,True,True,27.42944834183674
742,potter's wheel,True,True,23.222257653061224
743,power drill,False,False,35.84183673469388
744,prayer rug,False,False,13.673867984693878
745,printer,True,True,60.82190688775511
746,prison,False,False,44.5133131377551
747,projectile,True,True,22.80771683673469
748,projector,False,False,36.10291772959184
749,puck,True,True,25.430484693877556
74,garden spider,True,True,24.860491071428573
750,punching bag,False,False,27.064732142857142
751,purse,False,False,38.861208545918366
752,quill,False,False,21.38073979591837
753,quilt,False,False,15.310108418367346
754,racer,False,False,17.5960618622449
